lab,th_in,r_in,w
4,33,6,9940.83
5,34,37,9934.81
1,23,12,9931.57
1,22,17,9925.66
5,6,4,9918.65
1,22,12,9912.04
2,17,20,9907.85
1,25,23,9896.56
1,23,13,9896.43
5,4,11,9876.1
2,14,14,9839.05
5,6,3,9829.04
4,30,20,9809.09
1,27,13,9796.55
2,19,24,9791.62
2,19,8,9784.86
2,14,13,9765.07
3,14,18,9764.49
2,14,5,9750.87
4,31,14,9741.66
3,10,7,9738.37
1,21,8,9727.12
2,19,14,9721.63
1,29,19,9699.98
2,21,26,9698.27
5,5,8,9655.58
3,13,14,9618.17
2,14,12,9615.99
4,31,11,9598.19
2,18,8,9587.05
2,14,11,9584.41
1,23,14,9569.57
2,18,19,9564.66
2,14,8,9564.29
1,15,2,9550.62
1,22,13,9547.86
1,27,12,9547.5
4,31,20,9545.57
3,14,19,9519.87
3,13,19,9496.1
3,13,15,9490.67
2,18,7,9488.22
2,14,15,9484.94
2,14,10,9480.2
2,22,24,9473.13
1,23,11,9453.48
3,15,23,9446.32
2,18,9,9438.06
2,17,18,9436.22
2,20,25,9432.08
3,9,6,9428.91
5,2,18,9425.87
4,32,7,9422.69
4,31,15,9422.32
5,1,21,9419.89
5,1,30,9418.5
2,14,9,9417.6
2,20,18,9414.54
2,19,15,9359.34
2,19,7,9350.29
1,22,9,9332.58
2,17,21,9314.78
2,18,6,9312.33
5,7,3,9308.44
1,27,17,9295.51
1,29,18,9293.3
2,17,6,9267.88
4,31,16,9257.75
2,17,14,9238.17
2,18,22,9236.89
5,36,25,9230.55
1,28,36,9216.14
5,4,12,9215.21
2,17,7,9213.45
1,28,13,9209.82
1,20,8,9196.19
2,19,28,9183.49
2,21,28,9178.63
1,22,14,9176.19
4,33,5,9169.21
1,20,7,9163.08
5,3,16,9155.72
1,23,15,9155.68
2,17,24,9153.75
3,14,17,9149.65
1,23,28,9144.41
3,13,23,9142.37
1,25,17,9127.45
1,21,7,9126.57
1,14,2,9112.16
4,31,19,9089.05
2,17,15,9088.44
5,2,32,9079.63
2,17,8,9073.3
4,31,17,9064.43
2,17,37,9062.3
1,27,11,9056.6
2,19,16,9054.84
3,14,16,9051.42
2,17,13,9047.85
2,18,5,9042.49
5,33,39,9037.6
1,24,15,9023.83
2,18,10,9012.57
4,31,10,9001.38
2,15,6,8965.12
2,20,16,8960.48
1,19,6,8947.05
1,27,18,8944.57
2,15,5,8941.25
2,17,12,8941.17
2,20,14,8940.74
5,36,26,8933.71
1,22,15,8928.08
1,20,9,8927.62
2,20,13,8919.45
5,35,3,8895.66
2,16,7,8889.24
2,19,34,8886.59
5,1,29,8880.36
2,16,6,8880.16
2,17,17,8880.08
2,17,5,8865.74
3,10,8,8864.7
5,3,2,8855.44
1,24,14,8843.58
5,32,32,8831.67
5,6,7,8827.11
4,31,18,8827.09
2,15,16,8818.45
5,36,28,8813.4
1,29,17,8800.46
2,15,15,8794.89
2,16,5,8783.85
2,20,15,8779.25
1,20,6,8777.6
1,25,31,8773.91
5,2,31,8766.61
5,7,6,8763.96
2,17,16,8732.36
2,17,11,8727.11
5,32,31,8724.38
2,15,18,8712.11
2,17,9,8701.48
1,29,40,8698.37
1,23,10,8688.26
5,36,27,8688.1
5,5,9,8683.28
1,26,22,8680.69
2,19,23,8674.51
2,15,38,8673.46
4,32,6,8671.92
2,20,12,8643.07
2,15,7,8641.2
2,18,20,8627.29
3,15,24,8607.97
1,27,10,8595.06
