r|th,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
35,15996.5,3577.25,1432.16,1267.33,2897.12,4146.57,2951.56,3917.62,2257.57,1837.52,1749.56,1659.76,1914.34,2375.97,3578.55,4102.77,10640.8,14095.3,5351.27,2818.19,2280.08,2007.69,2012.0,1868.59,1707.09,2773.01,4907.59,11924.1,25555.1,40501.9,38517.6,15133.8,14349.9,11901.0,10284.8,23876.6
36,8053.6,1545.25,877.36,845.192,1616.08,4663.39,3161.4,4000.93,2292.84,1676.49,1418.51,1386.9,1886.34,2623.31,4051.3,5369.25,14481.1,8354.62,2976.39,2110.91,1796.02,1695.77,1640.22,1296.37,1335.64,2192.76,3756.49,9216.14,19705.2,35448.6,41304.6,16706.2,13631.8,10186.6,10483.9,25089.1
37,3322.31,971.186,709.828,636.164,1159.43,2770.05,3932.12,2967.62,2510.44,1407.39,1149.2,1296.21,1998.7,3698.54,5937.63,10249.8,9062.3,3541.1,2044.78,1637.21,1547.58,1337.96,1138.28,1020.44,1094.42,1524.27,2930.41,7231.08,15774.7,30298.4,38615.0,16153.5,13777.7,9934.81,12521.2,21435.4
38,1843.79,750.763,550.406,673.76,1051.13,1515.33,3512.27,2625.55,2032.4,1299.16,994.475,1326.7,2343.64,6251.26,8673.46,7299.23,3868.81,2198.15,1704.47,1268.58,1192.8,973.4939999999999,879.825,767.3580000000001,789.102,1073.13,2371.98,5981.11,13057.1,24721.2,29769.4,21723.4,13868.9,6594.53,14325.9,14353.8
39,1590.33,545.438,494.121,780.441,965.679,930.4110000000001,2542.86,2515.25,1447.72,1199.33,1051.39,1419.32,4433.2,7299.35,6138.29,3891.69,2253.72,1563.88,1391.42,1046.21,967.316,717.451,768.331,476.525,510.022,896.179,2104.56,4782.14,10559.4,19439.1,23889.1,18683.5,9037.6,4252.34,11890.1,7065.07
40,1529.43,462.99800000000005,541.047,863.1189999999999,843.158,780.9960000000001,1946.74,1982.25,1264.5,1167.24,824.8480000000001,2360.93,5188.68,4591.0,4447.47,2169.06,1377.31,1210.09,941.475,923.2660000000001,780.278,551.929,509.98699999999997,253.24900000000002,403.917,670.437,1792.05,3939.15,8698.37,14348.9,19937.0,11867.1,3083.99,4309.86,6742.14,4837.11
41,1128.66,512.415,609.165,798.317,566.562,824.955,1268.4,1373.98,798.813,723.795,716.783,3254.43,3503.6,3241.19,3126.24,1406.03,789.465,708.012,674.076,763.452,474.42900000000003,427.716,235.166,145.249,251.28099999999998,507.685,1317.5,2780.14,6207.8,11185.9,12706.4,4747.2,1240.33,3001.3,3109.86,3395.91
42,825.582,541.5830000000001,559.023,681.691,563.438,673.3969999999999,908.378,1090.77,540.656,576.616,927.5169999999999,2431.92,2066.07,2229.65,1870.13,748.164,516.507,363.897,441.86400000000003,607.681,291.098,277.849,95.166,78.3328,211.69799999999998,428.94300000000004,823.01,1570.79,3468.55,6476.22,4598.24,1020.93,479.611,956.198,1581.83,2201.58
43,,105.5,625.7330000000001,560.2130000000001,586.612,491.611,788.816,735.684,260.154,560.5169999999999,741.596,1566.77,1305.06,1180.5,836.695,323.817,256.848,164.99900000000002,249.408,300.408,225.99900000000002,96.9998,29.8333,78.1665,137.366,238.148,342.694,575.572,1841.87,2395.6,1014.39,149.431,194.166,503.333,341.333,
44,,,,132.833,614.1659999999999,426.499,444.499,2.0,,,4.0,805.3989999999999,755.18,465.30400000000003,278.873,160.773,133.80700000000002,133.092,109.06200000000001,124.5,78.9999,21.1666,10.3333,45.5,46.0,32.0,,,495.5,382.666,51.9995,21.8331,23.0,,,
