r|th,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
28,-69.43711755955385,-69.39744048739139,-69.31929586934164,-69.2050568682668,-69.05818519381222,-68.88316010511087,-68.68529195481374,-68.47059266552667,-68.24557249057929,-68.01709404441017,-67.79208663581024,-67.5773748928289,-67.37950811939591,-67.20448049297849,-67.0576148958237,-66.9433737685988,-66.86522827311344,-66.82555287985494,-66.82555287985494,-66.86522827311344,-66.9433737685988,-67.0576148958237,-67.20448049297849,-67.37950811939591,-67.5773748928289,-67.79208663581024,-68.01709404441017,-68.24557249057929,-68.47059266552667,-68.68529195481374,-68.88316010511087,-69.05818519381222,-69.2050568682668,-69.31929586934164,-69.39744048739139,-69.43711755955385
29,-69.66501709658105,-69.61841514530279,-69.52663186885285,-69.39245462058291,-69.2199492857875,-69.01437689317912,-68.78197461657189,-68.52980364544116,-68.26551047414605,-67.99715545609163,-67.73287727926737,-67.48069168088665,-67.24829102144906,-67.04271564821448,-66.87021745139607,-66.73603770589699,-66.64425339887171,-66.59765341951821,-66.59765341951821,-66.64425339887171,-66.73603770589699,-66.87021745139607,-67.04271564821448,-67.24829102144906,-67.48069168088665,-67.73287727926737,-67.99715545609163,-68.26551047414605,-68.52980364544116,-68.78197461657189,-69.01437689317912,-69.2199492857875,-69.39245462058291,-69.52663186885285,-69.61841514530279,-69.66501709658105
30,-69.93269470115861,-69.87795918770692,-69.77015673255288,-69.61256117322242,-69.40994802475568,-69.16849653716189,-68.89553247474566,-68.59934943511213,-68.28892847556405,-67.97373674436723,-67.66333339631477,-67.36713317649848,-67.09417101350081,-66.85271602506421,-66.65011126038455,-66.4925127679769,-66.3847091023785,-66.32997590501682,-66.32997590501682,-66.3847091023785,-66.4925127679769,-66.65011126038455,-66.85271602506421,-67.09417101350081,-67.36713317649848,-67.66333339631477,-67.97373674436723,-68.28892847556405,-68.59934943511213,-68.89553247474566,-69.16849653716189,-69.40994802475568,-69.61256117322242,-69.77015673255288,-69.87795918770692,-69.93269470115861
31,-70.24708389069575,-70.1827954524718,-70.05617836163772,-69.87107783473154,-69.63310285181551,-69.34951112013368,-69.02890696101683,-68.68103144390358,-68.31643307946246,-67.94623130620906,-67.58165362697716,-67.23375793124407,-66.91315600304905,-66.62956015952646,-66.39159502360998,-66.20649105172012,-66.07987253918425,-66.01558682127475,-66.01558682127475,-66.07987253918425,-66.20649105172012,-66.39159502360998,-66.62956015952646,-66.91315600304905,-67.23375793124407,-67.58165362697716,-67.94623130620906,-68.31643307946246,-68.68103144390358,-69.02890696101683,-69.34951112013368,-69.63310285181551,-69.87107783473154,-70.05617836163772,-70.1827954524718,-70.24708389069575
32,-70.61635346443899,-70.54084452444188,-70.39212847878073,-70.17472166402969,-69.89521201653724,-69.56212395836044,-69.18556355524035,-68.77697202192826,-68.34873894014581,-67.91392446563592,-67.4857156793297,-67.07710044554773,-66.70054266272061,-66.36744977504807,-66.08795169318888,-65.87054083218824,-65.72182311669036,-65.6463173717944,-65.6463173717944,-65.72182311669036,-65.87054083218824,-66.08795169318888,-66.36744977504807,-66.70054266272061,-67.07710044554773,-67.4857156793297,-67.91392446563592,-68.34873894014581,-68.77697202192826,-69.18556355524035,-69.56212395836044,-69.89521201653724,-70.17472166402969,-70.39212847878073,-70.54084452444188,-70.61635346443899
33,-71.05007685662721,-70.96138894268495,-70.78671670043211,-70.53136472650898,-70.20307078457584,-69.8118471090758,-69.36956363075839,-68.88965845998909,-68.38668359759785,-67.87597865726015,-67.37303233076287,-66.89309932295555,-66.45081892226469,-66.05958957435152,-65.73130921666265,-65.47595249027665,-65.30127828674165,-65.2125941255584,-65.2125941255584,-65.30127828674165,-65.47595249027665,-65.73130921666265,-66.05958957435152,-66.45081892226469,-66.89309932295555,-67.37303233076287,-67.87597865726015,-68.38668359759785,-68.88965845998909,-69.36956363075839,-69.8118471090758,-70.20307078457584,-70.53136472650898,-70.78671670043211,-70.96138894268495,-71.05007685662721
34,-71.55949114719951,-71.45532434098705,-71.25016617680595,-70.95024707395126,-70.5646552846085,-70.1051505000212,-69.58567433546902,-69.02201028360706,-68.43125013725212,-67.8314107658296,-67.24068413579954,-66.67698738844147,-66.15751483866062,-65.69800339164172,-65.31242755743061,-65.01250287265546,-64.8073424048854,-64.70318000640906,-64.70318000640906,-64.8073424048854,-65.01250287265546,-65.31242755743061,-65.69800339164172,-66.15751483866062,-66.67698738844147,-67.24068413579954,-67.8314107658296,-68.43125013725212,-69.02201028360706,-69.58567433546902,-70.1051505000212,-70.5646552846085,-70.95024707395126,-71.25016617680595,-71.45532434098705,-71.55949114719951
35,-72.15781584420482,-72.03546854384655,-71.79450361032616,-71.44223887365655,-70.98934878148863,-70.4496454734953,-69.83950383006432,-69.17746207644025,-68.48359507894045,-67.77906423643329,-67.08523660494667,-66.4231564493995,-65.81301905163495,-65.27330791839913,-64.82043656605201,-64.46816527323537,-64.22719763407487,-64.10485551074595,-64.10485551074595,-64.22719763407487,-64.46816527323537,-64.82043656605201,-65.27330791839913,-65.81301905163495,-66.4231564493995,-67.08523660494667,-67.77906423643329,-68.48359507894045,-69.17746207644025,-69.83950383006432,-70.4496454734953,-70.98934878148863,-71.44223887365655,-71.79450361032616,-72.03546854384655,-72.15781584420482
36,-72.86057166621148,-72.71687066246794,-72.43384927407217,-72.02010253757176,-71.48816794939977,-70.85426833040337,-70.13763652626868,-69.36004630370294,-68.54507626584147,-67.71758118470697,-66.90265738354701,-66.12502205663587,-65.40839523917865,-64.77448642917275,-64.24257385154822,-63.82881941463343,-63.54579484837268,-63.4020999252236,-63.4020999252236,-63.54579484837268,-63.82881941463343,-64.24257385154822,-64.77448642917275,-65.40839523917865,-66.12502205663587,-66.90265738354701,-67.71758118470697,-68.54507626584147,-69.36004630370294,-70.13763652626868,-70.85426833040337,-71.48816794939977,-72.02010253757176,-72.43384927407217,-72.71687066246794,-72.86057166621148
37,-73.68597902031932,-73.51719746475439,-73.18477953483624,-72.69882038370122,-72.07404571329813,-71.32950976031911,-70.48780213463662,-69.57449684143937,-68.61728772566613,-67.64536753459024,-66.68821272534376,-65.77485445560923,-64.93315268694344,-64.18860593882147,-63.563857120530336,-63.07788892500536,-62.74546726258026,-62.57669284887352,-62.57669284887352,-62.74546726258026,-63.07788892500536,-63.563857120530336,-64.18860593882147,-64.93315268694344,-65.77485445560923,-66.68821272534376,-67.64536753459024,-68.61728772566613,-69.57449684143937,-70.48780213463662,-71.32950976031911,-72.07404571329813,-72.69882038370122,-73.18477953483624,-73.51719746475439,-73.68597902031932
38,-74.65544613772438,-74.45720667854832,-74.06677094386849,-73.49599602133497,-72.76217772967952,-71.88769589331022,-70.8990827481051,-69.82637579988408,-68.70210237561008,-67.56055031207876,-66.43634067259724,-65.36357150169991,-64.37496523575255,-63.50047072013465,-62.76668279263051,-62.19589724716507,-61.80545712853372,-61.60722605770377,-61.60722605770377,-61.80545712853372,-62.19589724716507,-62.76668279263051,-63.50047072013465,-64.37496523575255,-65.36357150169991,-66.43634067259724,-67.56055031207876,-68.70210237561008,-69.82637579988408,-70.8990827481051,-71.88769589331022,-72.76217772967952,-73.49599602133497,-74.06677094386849,-74.45720667854832,-74.65544613772438
39,-75.7941169809854,-75.56127825037106,-75.10269870608069,-74.43230488548834,-73.57041129356276,-72.54330376627331,-71.38214528271543,-70.12221587621347,-68.80171995648386,-67.46092970964027,-66.14050870723628,-64.88050621816525,-63.71935581452069,-62.69223339503892,-61.830375466802494,-61.15996916922904,-60.70138447584418,-60.468555597616785,-60.468555597616785,-60.70138447584418,-61.15996916922904,-61.830375466802494,-62.69223339503892,-63.71935581452069,-64.88050621816525,-66.14050870723628,-67.46092970964027,-68.80171995648386,-70.12221587621347,-71.38214528271543,-72.54330376627331,-73.57041129356276,-74.43230488548834,-75.10269870608069,-75.56127825037106,-75.7941169809854
40,-77.1315287327437,-76.8580518559103,-76.31943484309065,-75.53203487822965,-74.51971202686973,-73.31333988253584,-71.94952040647972,-70.46969117784752,-68.91872455366911,-67.34392156351359,-65.79304293223987,-64.3131278656859,-62.94931787975821,-61.742928244046354,-60.73064728088218,-59.943232661389565,-59.4046096007862,-59.1311442959108,-59.1311442959108,-59.4046096007862,-59.943232661389565,-60.73064728088218,-61.742928244046354,-62.94931787975821,-64.3131278656859,-65.79304293223987,-67.34392156351359,-68.91872455366911,-70.46969117784752,-71.94952040647972,-73.31333988253584,-74.51971202686973,-75.53203487822965,-76.31943484309065,-76.8580518559103,-77.1315287327437
41,-78.70235894199575,-78.38115134375589,-77.74852792395454,-76.8237007338253,-75.63469420612995,-74.2177703932219,-72.61591950400172,-70.8778113398381,-69.0561499618415,-67.20649198700303,-65.38493395957086,-63.64672497594123,-62.04488523318944,-60.62794087608192,-59.438983547451976,-58.514139144975275,-57.8815086218528,-57.56031461525871,-57.56031461525871,-57.8815086218528,-58.514139144975275,-59.438983547451976,-60.62794087608192,-62.04488523318944,-63.64672497594123,-65.38493395957086,-67.20649198700303,-69.0561499618415,-70.8778113398381,-72.61591950400172,-74.2177703932219,-75.63469420612995,-76.8237007338253,-77.74852792395454,-78.38115134375589,-78.70235894199575
42,-80.54731213766985,-80.17004440863289,-79.42700967896933,-78.34077306537858,-76.94425008469005,-75.28003157913959,-73.39861080782697,-71.35715187750327,-69.21755725110874,-67.04507980198782,-64.9056065638573,-62.86402921811881,-60.98262153865967,-59.318378903345405,-57.921913708399735,-56.83565687840293,-56.092613805680706,-55.71536204042967,-55.71536204042967,-56.092613805680706,-56.83565687840293,-57.921913708399735,-59.318378903345405,-60.98262153865967,-62.86402921811881,-64.9056065638573,-67.04507980198782,-69.21755725110874,-71.35715187750327,-73.39861080782697,-75.28003157913959,-76.94425008469005,-78.34077306537858,-79.42700967896933,-80.17004440863289,-80.54731213766985
43,-82.71433518656286,-82.27122101987855,-81.39850069499721,-80.12267773213227,-78.48241255911326,-76.52772961246936,-74.31793499422602,-71.92016995071225,-69.40714109362658,-66.85549020908093,-64.34260392676461,-61.94469980019704,-59.734920558794336,-57.78020927089737,-56.14001196925808,-54.86416526151587,-53.99143513741981,-53.54833972076141,-53.54833972076141,-53.99143513741981,-54.86416526151587,-56.14001196925808,-57.78020927089737,-59.734920558794336,-61.94469980019704,-64.34260392676461,-66.85549020908093,-69.40714109362658,-71.92016995071225,-74.31793499422602,-76.52772961246936,-78.48241255911326,-80.12267773213227,-81.39850069499721,-82.27122101987855,-82.71433518656286
44,-85.25961348837028,-84.73915934642324,-83.71411672310884,-82.21561499299546,-80.28906227278554,-77.99321413191844,-75.39772780268903,-72.58146318706997,-69.62981691656276,-66.63280763202161,-63.68132882090708,-60.864900847045696,-58.26943257849004,-55.97355114976249,-54.047078147023484,-52.54854852766471,-51.523494394806576,-51.00306227546541,-51.00306227546541,-51.523494394806576,-52.54854852766471,-54.047078147023484,-55.97355114976249,-58.26943257849004,-60.864900847045696,-63.68132882090708,-66.63280763202161,-69.62981691656276,-72.58146318706997,-75.39772780268903,-77.99321413191844,-80.28906227278554,-82.21561499299546,-83.71411672310884,-84.73915934642324,-85.25961348837028
