r|th,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
28,-16.46466315918345,-16.689683374586295,-16.90438274355092,-17.102251010328004,-17.27728551732088,-17.424148101694957,-17.538387304519265,-17.616532141479727,-17.65620944307624,-17.6562091399322,-17.61653463377154,-17.538385834540563,-17.42414685848317,-17.27728120413024,-17.102253529717885,-16.904381967111703,-16.689678748753945,-16.46466818175797,-16.23618581824203,-16.011175251246055,-15.796472032888298,-15.598600470282115,-15.423572795869758,-15.27670714151683,-15.162468165459437,-15.08431936622846,-15.044644860067798,-15.044644556923762,-15.084321858520271,-15.162466695480733,-15.276705898305043,-15.423568482679121,-15.598602989671997,-15.796471256449081,-16.011170625413705,-16.23619084081655
29,-16.48460091038038,-16.748894129191683,-17.001065193906165,-17.233467607322698,-17.439051062006445,-17.611545720220523,-17.745723205451444,-17.83750673901882,-17.884108959774476,-17.88410860372241,-17.837509666292817,-17.745721478915886,-17.611544260029735,-17.439045996030327,-17.233470566424216,-17.001064281954232,-16.748888696008184,-16.484606809549856,-16.216247190450144,-15.951965303991814,-15.699789718045766,-15.467383433575783,-15.261808003969673,-15.089309739970263,-14.955132521084112,-14.863344333707182,-14.816745396277591,-14.816745040225523,-14.863347260981179,-14.955130794548554,-15.089308279779477,-15.261802937993556,-15.467386392677302,-15.699788806093835,-15.951959870808315,-16.21625308961962
30,-16.50801863887019,-16.818439654227607,-17.114622803778325,-17.387587026881533,-17.629051507244068,-17.831652115717397,-17.98924795336628,-18.097050710513138,-18.151786540474816,-18.151786122280036,-18.097054148692028,-17.98924592549389,-17.83165040067564,-17.6290455570897,-17.38759050244289,-17.114621732661004,-16.81843327277618,-16.508025567637365,-16.192828432362635,-15.88242072722382,-15.586232267338996,-15.31326349755711,-15.071808442910298,-14.869203599324361,-14.71160807450611,-14.603799851307972,-14.549067877719963,-14.549067459525181,-14.603803289486864,-14.71160604663372,-14.869201884282605,-15.071802492755932,-15.313266973118466,-15.586231196221675,-15.882414345772393,-16.19283536112981
31,-16.535522922212582,-16.900121352203367,-17.247996998417534,-17.568601346265876,-17.852208338329078,-18.090168592661414,-18.275269446460594,-18.401886891993936,-18.46617570196801,-18.466175210786183,-18.401890930234142,-18.27526706466602,-18.090166578295435,-17.852201349701268,-17.568605428412866,-17.247995740359368,-16.90011385700473,-16.53553106024934,-16.16532293975066,-15.80074014299527,-15.452858259640633,-15.132248571587134,-14.848652650298732,-14.610687421704563,-14.425586935333977,-14.298963069765856,-14.234678789213815,-14.23467829803199,-14.298967108006064,-14.425584553539405,-14.610685407338586,-14.848645661670924,-15.132252653734124,-15.452857001582467,-15.80073264779663,-16.165331077787418
32,-16.567828406383047,-16.99606156515579,-17.40465325010124,-17.781213874892853,-18.11431985690251,-18.393812205176413,-18.61121940387433,-18.75993586614173,-18.835445242771886,-18.835444665862262,-18.75994060919112,-18.611216606376235,-18.3938098392356,-18.114311648523334,-17.78121866951224,-17.404651772469474,-16.99605276179208,-16.567837964781823,-16.133016035218176,-15.70480123820792,-15.296202227530525,-14.91963533048776,-14.586542351476666,-14.307044160764399,-14.089637393623764,-13.94091339080888,-13.865409334137738,-13.865408757228114,-13.940918133858268,-14.08963459612567,-14.307041794823586,-14.586534143097486,-14.919640125107147,-15.296200749898759,-15.704792434844208,-16.133025593616953
33,-16.605772621604093,-17.108747574423155,-17.5886529232912,-18.030936661969616,-18.4221813896437,-18.750455013034355,-19.00580743791661,-19.180480169488195,-19.26916859627138,-19.269167918670675,-19.180485740367033,-19.005804152156404,-18.7504522341534,-18.422171748612765,-18.030942293419237,-17.588651187760558,-17.108737234561897,-16.605783848280673,-16.095070151719327,-15.592116765438105,-15.112202812239442,-14.669911706580764,-14.278682251387234,-13.9504017658466,-13.695049847843595,-13.520368259632967,-13.431686081329326,-13.431685403728618,-13.520373830511804,-13.695046562083391,-13.950398986965647,-14.2786726103563,-14.669917338030386,-15.112201076708802,-15.592106425576844,-16.095081378395907
34,-16.65033864185177,-17.24109889441709,-17.804763155461753,-18.324239625816304,-18.78376913685885,-19.16933706142021,-19.46925669394091,-19.674415432842615,-19.778582841403225,-19.77858204553941,-19.674421976018913,-19.469252834709913,-19.169333797535195,-18.78375781315806,-18.324246240134936,-17.80476111702522,-17.241086749917617,-16.65035182794435,-16.05050217205565,-15.459767250082384,-14.89609288297478,-14.376607759865065,-13.917096186841937,-13.531520202464806,-13.231601165290087,-13.026432023981087,-12.922271954460593,-12.922271158596775,-13.026438567157385,-13.23159730605909,-13.531516938579788,-13.917084863141149,-14.376614374183694,-14.896090844538247,-15.459755105582913,-16.05051535814823
35,-16.702682973479114,-17.39655009572645,-18.058592095042396,-18.66873409764821,-19.208466447667075,-19.661328509873417,-20.01359386865296,-20.25455947720138,-20.376907485037133,-20.376906550269208,-20.25456716237466,-20.01358933586069,-19.661324676334353,-19.208453147612364,-18.66874186638047,-18.058589700832414,-17.396535831617005,-16.702698460973526,-15.998155539026476,-15.304318168382997,-14.642264299167584,-14.032112133619531,-13.492400852387636,-13.039529323665645,-12.68726466413931,-12.44628683762534,-12.323947449730792,-12.323946514962866,-12.446294522798619,-12.687260131347038,-13.039525490126582,-13.492387552332927,-14.032119902351793,-14.642261904957605,-15.304303904273548,-15.998171026520884
36,-16.764163443839568,-17.57913362822121,-18.356724139360285,-19.073356365357863,-19.707290095186348,-20.239191761229254,-20.65293922841865,-20.935961409657462,-21.079663244357,-21.07966214644075,-20.93597043615099,-20.652933904502248,-20.239187258609174,-19.707274473826452,-19.07336548999421,-18.356721327280443,-17.57911687454672,-16.76418163442069,-15.936672365579309,-15.121737125453281,-14.344132672719558,-13.62748851000579,-12.993579526173548,-12.461666741390825,-12.047920095497751,-11.764883563849013,-11.62119185355925,-11.621190755643,-11.764892590342537,-12.04791477158135,-12.461662238770744,-12.993563904813652,-13.627497634642136,-14.344129860639715,-15.121720371778789,-15.93669055616043
37,-16.83637406206629,-17.79358334993228,-18.706888982068424,-19.54859710324275,-20.29317312051603,-20.917909122795642,-21.403869132148888,-21.73628799328727,-21.905070524837363,-21.905069235298615,-21.736298595200815,-21.40386287903396,-20.917903834320256,-20.293154772715006,-19.548607820428266,-18.706885679188154,-17.793563672190523,-16.836395427502147,-15.86445857249785,-14.907290327809477,-13.993968320811845,-13.152246179571732,-12.407699227284994,-11.782950165679743,-11.296991120966041,-10.964555404799183,-10.795784764701384,-10.795783475162636,-10.96456600671273,-11.296984867851112,-11.782944877204358,-12.40768087948397,-13.152256896757251,-13.993965017931574,-14.907270650067717,-15.864479937933709
38,-16.921187723526774,-18.04546134992934,-19.118168696245167,-20.106782423421652,-20.981311316615393,-21.71508419129468,-22.285860121833586,-22.67629695026205,-22.874537555764608,-22.874536041159157,-22.676309402556377,-22.285852777345514,-21.71507797980731,-20.981289766522792,-20.10679501110669,-19.118164816904226,-18.04543823777783,-16.92121281793022,-15.77964118206978,-14.65541576222217,-13.582689183095773,-12.59405898889331,-11.71956423347721,-10.985776020192688,-10.415001222654485,-10.024544597443622,-9.826317958840843,-9.826316444235392,-10.024557049737952,-10.414993878166413,-10.98576980870532,-11.719542683384606,-12.594071576578347,-13.582685303754833,-14.65539265007066,-15.779666276473225
39,-17.020804143394383,-18.34130030053061,-19.60123017460794,-20.762389341710225,-21.78955213877955,-22.651392386980703,-23.321787391508366,-23.78036822044229,-24.013208297454607,-24.01320651850095,-23.780382846069386,-23.321778765166837,-22.651385091385567,-21.789526827490732,-20.762404126358135,-19.601225618195084,-18.3412731545525,-17.020833617592245,-15.680020382407752,-14.359580845447498,-13.099628381804916,-11.938449873641867,-10.911327172509267,-10.049468908614433,-9.379075234833163,-8.920471153930613,-8.687647481499049,-8.687645702545392,-8.920485779557708,-9.379066608491632,-10.049461613019297,-10.91130186122045,-11.938464658289774,-13.099623825392058,-14.359553699469389,-15.680049856605615
40,-17.137807376934184,-18.688774279954607,-20.168604057769734,-21.532424336671625,-22.73886139721057,-23.75112159458197,-24.538522950014595,-25.07714147169107,-25.350619929913933,-25.35061784047336,-25.077158649979275,-24.53851281808794,-23.75111302566147,-22.73883166825527,-21.532441701735088,-20.168598706110433,-18.68874239609537,-17.137841995365395,-15.563012004634604,-14.01211160390463,-12.532255293889566,-11.16841229826491,-9.96202233174473,-8.949740974338528,-8.162341181912058,-7.623695350020723,-7.350236159526636,-7.350234070086065,-7.623712528308927,-8.162331049985406,-8.949732405418029,-9.96199260278943,-11.168429663328377,-12.532249942230267,-14.012079720045392,-15.563046623065814
41,-17.27523118346412,-19.096892888969847,-20.8350016981669,-22.436853530355872,-23.85385358948464,-25.042786528007102,-25.96761535140852,-26.60024054341188,-26.921449999045745,-26.921447544928984,-26.600260719877106,-25.96760345112699,-25.042776463527773,-23.853818671847577,-22.4368739261948,-20.83499541246681,-19.096855440327143,-17.27527184395166,-15.425582156048339,-13.603998559672856,-11.865858587533191,-10.263980073805202,-8.847035328152423,-7.658077536472225,-6.733250548873009,-6.1005932801228955,-5.779406455071015,-5.779404000954255,-6.100613456588123,-6.733238648591483,-7.658067471992897,-8.84700041051536,-10.264000469644127,-11.8658523018331,-13.603961111030152,-15.425622816535883
42,-17.436636591588922,-19.576231602652506,-21.617691290586855,-23.499113169443937,-25.163421228413107,-26.559857776463403,-27.64609630838013,-28.389133119546862,-28.76640303014746,-28.766400147715466,-28.389156817396035,-27.64608233115104,-26.559845955437744,-25.163380216625995,-23.49913712495394,-21.617683907848054,-19.57618761812516,-17.43668434852207,-15.264169651477928,-13.124666381874839,-11.083170092151947,-9.20171687504606,-7.537473783374004,-6.141008044562257,-5.054771668848961,-4.311697182603963,-3.9344538522845323,-3.9344509698525396,-4.3117208804531355,-5.054757691619869,-6.1409962235365985,-7.537432771586893,-9.201740830556064,-11.083162709413145,-13.124622397347494,-15.264217408411078
43,-17.62621822457698,-20.139247533469938,-22.537013466823964,-24.746809385917082,-26.70159751618908,-28.341761171046006,-29.617586387052025,-30.490309156731765,-30.933425885739013,-30.933422500221642,-30.490336990685957,-29.617569970306718,-28.341747286837176,-26.70154934640812,-24.74683752250295,-22.537004795538557,-20.139195872101418,-17.626274316768303,-15.074579683231697,-12.561658127898584,-10.16384920446144,-7.954016477497051,-5.99930465359188,-4.359106713162822,-3.0832840296932833,-2.2105170093140423,-1.7674314997783576,-1.7674281142609871,-2.2105448432682344,-3.0832676129479744,-4.359092828953994,-5.999256483810921,-7.954044614082919,-10.163840533176035,-12.561606466530062,-15.074635775423019
44,-17.848891452308553,-20.8005382534803,-23.616803914249978,-26.212291771376044,-28.508263454343634,-30.434696937679828,-31.93320131419159,-32.95824680901302,-33.47870396050406,-33.47869998408744,-32.958279501031996,-31.93318203211095,-30.434680630157896,-28.508206877136445,-26.21232481884723,-23.616793729501346,-20.800477575273085,-17.848957334682666,-14.851896665317332,-11.900376424726915,-9.084060270498655,-6.488529181152771,-4.192647122863553,-2.266173369842104,-0.7676719678890489,0.25742550103199946,0.7778459840874419,0.7778499605040672,0.2573928090130231,-0.767652685808411,-2.266157062320172,-4.1925905456563655,-6.488562228623955,-9.08405008575002,-11.900315746519698,-14.851962547691445
